Title,Body,CreaDate,Tags,State,Reactions,Comments,Link,Keywords,Topic_id,,,,,,
dataloader workers causes cpu memory parent process replicated worker processes,editor note known workaround lists instead something else tensor directly issues issuecomment numpy array fixes fork start method issues issuecomment details cpu memory dataloader workers reproduce following snippet expected behavior cpu memory gradually start increasing eventually filling whole ram process starts around fills whole available system workers ram usage constant environment additionanl info around million images dataset paths loaded single presented snippet also multiple versions effect,2018-10-29T13:23:59Z,"high priority, module: dependency bug, module: multiprocessing, module: dataloader, module: molly-guard, module: memory usage, triaged",OPEN,102,132,https://github.com/pytorch/pytorch/issues/13246,"memory, cuda, cudnn, process, gpu, model, convolution, training, version, batch",10,算子资源调度不合理,,,,,DataLoader num_workers>0导致内存泄露
tensorboard valuebug duplicate plugins nanme projector,follow introduction happened cuda cudnn install pip however right,2019-07-10T07:53:56Z,"high priority, triage review, module: dependency bug, triaged, module: tensorboard",CLOSED,46,43,https://github.com/pytorch/pytorch/issues/22676,"version, reproduce, behavior, source, model, environment, pip, expected, expected_behavior, installed",7,算子执行失败,,,,,tensorboard中的projector插件被重复加载
download speed issues channel,download speed slow downloading around kb mbit connection searched downloading found mirror lets mb download speed going enough bandwidth science originanl pip install files pythonhosted org packages bac bf ee post cp cp mu manylinux whl downloading pypi lcsb uni lu packages bac bf ee post cp cp mu manylinux whl seriously weird,2019-02-12T20:29:14Z,"module: dependency bug, triaged",OPEN,31,90,https://github.com/pytorch/pytorch/issues/17023,"repro, log, response, minified, minified_repro, install, org, download, cu, log_response",0,框架的下载问题,,,,,conda下载pytorch的速度问题
fp depthwise convolution slow gpu,tested ipython convolution much slower normal convolution supposed opposite ged fa cuda driver titan xp btw depthwise convolution slow cpu,2019-03-29T20:29:29Z,"high priority, module: dependency bug, module: performance, module: cudnn, module: cuda, module: convolution, triaged",OPEN,34,64,https://github.com/pytorch/pytorch/issues/18631,"memory, cuda, cudnn, process, gpu, model, convolution, training, version, batch",10,算子资源调度不合理,,,,,GPU上的depthwise convolution耗时多
installed bugs complaints incompatibility mkl libgomp multiprocessing,fairseq multi gpu training nlp models upgrading channel consistently message generated trying train gpus assume three repetitions incompatibliity means process generating one occur downgrade reproduce steps reproduce behavior install install fairseq environment source multi gpu training fairseq sample messages traces provide well expected behavior occur environment copy paste output environment collection script raw githubusercontent master collect env py checklist manually script version os linux ubuntu linux installed pip source command compiling source version cuda cudnn version also gpu models configuration tesla information yaml environment,2020-04-27T22:28:06Z,"high priority, module: dependency bug, module: build, module: multiprocessing, triaged, module: mkl, module: regression, has workaround, module: known issue",CLOSED,27,37,https://github.com/pytorch/pytorch/issues/37377,"reproduce, behavior, expected, concise, description, context, environment, concise_description, message, sample",14,框架中包的不兼容,,,,,pytorch中MKL and libgomp不兼容
attributebug module distutils attribute version setuptools,versions dev infra,2021-12-14T12:49:14Z,"module: dependency bug, module: ci, triaged, module: tensorboard",CLOSED,22,27,https://github.com/pytorch/pytorch/issues/69894,"dynanmo, module, py, compile, fn, model, convert, graph, guard, frame",16,算子功能不完善,,,,,distutils缺乏属性version
multi gpu example freeze killable,running multiple gpus freeze killable even kill reboot removes process inside docker container nvidia docker freezes docker nvidia nvidia docker issues reproduce steps reproduce behavior install following multiple gpus expected behavior training environment collecting environment information version post debug cuda os ubuntu lts gcc version crosstool ng fa cb cmake version collect version cuda available cuda runtime version gpu models configuration gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla nvidia driver version cudnn version linux gnu libcudnn versions libraries pip numpy mkl defaults mkl fft py mkl random py nomkl defaults numexpr py nomklhaa nomkl defaults py cuda cudnn pip py,2019-08-09T13:27:51Z,"module: dependency bug, module: multi-gpu, module: multiprocessing, module: cuda, triaged, module: deadlock, has workaround, module: data parallel, quansight-nack",OPEN,5,54,https://github.com/pytorch/pytorch/issues/24081,"version, cuda, runtime, gpu, pip, collect, linux, nvidia, gcc, ubuntu",17,模型运行卡顿,,,,,多GPU上运行pytorch被冻结且不可杀死
process fails assertion magma cuda,training process dies following reproduce steps reproduce behavior training fairly network almost gpu memory tesla dataloader rendering opengl returning cpu tensors sample messages traces provide well expected behavior program crash memory return environment version debug cuda os ubuntu lts gcc version ubuntu ubuntu cmake version version version cuda available cuda runtime version collect gpu models configuration gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla gpu tesla nvidia driver version cudnn version collect versions libraries pip numpy pip pip torchfile pip torchnet pip,2019-09-12T20:29:33Z,"module: dependency bug, needs reproduction, module: crash, triaged, module: linear algebra",OPEN,9,22,https://github.com/pytorch/pytorch/issues/26120,"version, cuda, runtime, gpu, pip, collect, linux, nvidia, gcc, ubuntu",17,模型训练出错,,,,,训练时出现断言错误
dependency issues tensorboard module nanmed past module nanmed pil,pip install future fixes problem rather added requirements txt mentioned explicitly docs however another happens docs mention dependency pillow add add images think break import,2019-07-01T07:26:40Z,"module: dependency bug, triaged",CLOSED,11,11,https://github.com/pytorch/pytorch/issues/22389,"dynanmo, module, py, compile, fn, model, convert, graph, guard, frame",16,框架依赖缺失,,,,,tensorboard缺少PIL和past模块
dynanmo exc unsupported dynanmic shapes arange,giving try opennmt py lines logs getting minified repro response,2022-12-06T17:31:39Z,"bug, triaged, oncall: pt2",OPEN,0,53,https://github.com/pytorch/pytorch/issues/93468,"repro, log, response, minified, minified_repro, install, org, download, cu, log_response",0,框架特性不支持,,,,,不支持动态形状arange
ppc le,looks libth tries dispatch vsx specific versions functions defined,2017-03-05T00:09:02Z,"todo, module: dependency bug",CLOSED,0,51,https://github.com/pytorch/pytorch/issues/922,"cuda, device, libtorch, version, window, org, example, release, extension, system",5,框架在特殊架构下不被支持,,,,,pytorch无法在ppc64le上被构建
cudnn status supported matrix input,following adapted discuss org cudnn status supported occurs apply autograd grad compute high differentiation gives cudnn status supported running cudnn cuda running convolutions individually works running smaller input matrices pretty sure problem also occurs sizes receive following posted question forums discuss org cudnn status supported matrix input reproduced,2017-12-11T07:58:39Z,"high priority, triage review, module: dependency bug, module: cudnn, triaged",CLOSED,1,47,https://github.com/pytorch/pytorch/issues/4107,"memory, cuda, cudnn, process, gpu, model, convolution, training, version, batch",10,模型CDNN出错,,,,,大矩阵输入导致CDNN状态出错
crash reading pandas parquet importing,importing reading parquet pandas script randomly fails segmentation problem occurs importing seems related seems resolve able produce anymore steps reproduce behavior install effected minimal example producing import import pandas pd nanme df pd read parquet summary par done data found eu west amazonanws segfault public bucket summary par unluckily never able fetch stacktrace ran script thousands times gdb never fails gdb even though fails around times normally executing concise description expected happen environment version debug cuda os ubuntu lts gcc version ubuntu ubuntu cmake version version version cuda available cuda runtime version collect gpu models configuration gpu quadro nvidia driver version cudnn version probably one following linux gnu libcudnn linux gnu libcudnn static cuda targets linux libcudnn one cuda targets linux libcudnn static cuda targets linux libcudnn cuda targets linux libcudnn cuda targets linux libcudnn cuda targets linux libcudnn static versions libraries pip collect,2018-10-24T08:39:14Z,"high priority, module: dependency bug, triaged, module: pybind",CLOSED,8,12,https://github.com/pytorch/pytorch/issues/13039,"version, cuda, runtime, gpu, pip, collect, linux, nvidia, gcc, ubuntu",17,算子执行失败,,,,,导入pyTorch后读取pandas parquet文件时崩溃
cudnn cudnn status internanl cudnn benchmark,hi running encoder decoder architecture problem cudnn include receive cudnn status internanl listed comment cudnn without problems system configurations listed version os ubuntu installed pip version cuda cudnn version gpu models configuration nvidia gpu titan additionanl context rm rf nv rebuilt cuda cudnn reinstalled still cannot work thanks help,2019-02-07T01:10:29Z,"module: dependency bug, module: cudnn, triaged",CLOSED,0,41,https://github.com/pytorch/pytorch/issues/16831,"memory, cuda, cudnn, process, gpu, model, convolution, training, version, batch",10,框架CDNN出错,,,,,
happening poetry,hello trying install poetry getting following poetry installed pip added following details related version poetry version os details version cpython poetry version os windows version os poetry creation virtual environment poetry disabled pyproject toml looks versions collecting environment information version debug cuda rocm os microsoft windows single language gcc version collect clang version collect cmake version collect libc version version tags db ff jun msc bit amd bit runtime platform windows sp cuda available cuda runtime version gpu models configuration gpu nvidia geforce ti nvidia driver version cudnn version program files nvidia gpu computing toolkit cuda bin cudnn ops train dll hip runtime version miopen runtime version versions libraries pip mypy pip mypy extensions pip numpy pip torchsummary collect,2021-09-05T04:14:21Z,"module: dependency bug, oncall: binaries, releng, triaged",CLOSED,5,19,https://github.com/pytorch/pytorch/issues/64520,"version, cuda, runtime, gpu, pip, collect, linux, nvidia, gcc, ubuntu",17,框架安装失败,,,,,Poetry安装torch和torchvision失败
